Слово,Частота встреч в раз,Частота встреч в %
почесался,1,0.0
разразились,1,0.0
кибитку,3,0.0
растащат,1,0.0
выспались,2,0.0
косившегося,1,0.0
веселей,1,0.0
благовидные,1,0.0
уведя,1,0.0
кибиточку,3,0.0
укрывшись,3,0.0
шинелями,2,0.0
докторши,2,0.0
выбегая,1,0.0
сообщая,5,0.0
завертываясь,1,0.0
развлекало,1,0.0
местечку,1,0.0
островне,1,0.0
собираться,2,0.0
светало,1,0.0
непросохшем,1,0.0
корчмы,1,0.0
сумерках,4,0.0
рассвета,1,0.0
глянцовитую,1,0.0
кожаную,2,0.0
докторскую,1,0.0
подушке,3,0.0
чепчик,4,0.0
ильину,2,0.0
выходившему,1,0.0
шестнадцатилетнею,1,0.0
выстроенный,1,0.0
перекрестились,2,0.0
звуча,1,0.0
шлепаньем,1,0.0
бренчаньем,1,0.0
шедшею,1,0.0
батареей,2,0.0
разорванные,1,0.0
сине,1,0.0
восходе,1,0.0
гнались,2,0.0
травка,1,0.0
заседает,1,0.0
проселочным,1,0.0
висячие,1,0.0
ветви,2,0.0
качались,1,0.0
роняли,1,0.0
обозначались,1,0.0
отстававшим,1,0.0
вольность,1,0.0
фронтовой,1,0.0
казацкой,1,0.0
знаток,2,0.0
лихую,1,0.0
донскую,1,0.0
крупную,2,0.0
игреневую,1,0.0
обскакивал,1,0.0
утре,1,0.0
докторше,1,0.0
опасностью,1,0.0
интереснее,1,0.0
отрывая,1,0.0
веток,2,0.0
попадались,1,0.0
докуренную,1,0.0
ехавшему,2,0.0
полосе,3,0.0
прелестного,1,0.0
грозы,1,0.0
летнего,1,0.0
отвесно,2,0.0
туче,1,0.0
засветилось,1,0.0
заблестело,1,0.0
витебска,2,0.0
остермана,3,0.0
рысях,4,0.0
торопившуюся,1,0.0
взмыливаться,1,0.0
раскраснелись,1,0.0
равняйся,1,0.0
дивизионера,1,0.0
скомандовали,1,0.0
колонной,2,0.0
косом,1,0.0
освещении,3,0.0
лощиной,2,0.0
вступившая,2,0.0
перещелкивающаяся,1,0.0
неслышанных,1,0.0
трап,1,0.0
тап,1,0.0
хлопали,1,0.0
замолкало,1,0.0
трескались,1,0.0
хлопушки,1,0.0
поговорил,5,0.0
пушкам,1,0.0
стройся,1,0.0
вздвоила,1,0.0
взводы,1,0.0
флюгерами,1,0.0
показавшуюся,1,0.0
попадавшие,1,0.0
неслышанный,1,0.0
возбудительнее,1,0.0
выпрямившись,1,0.0
разглядывал,1,0.0
налетели,2,0.0
спуталось,1,0.0
ранжевыми,1,0.0
кучей,4,0.0
зорким,1,0.0
охотничьим,1,0.0
преследующих,2,0.0
преследующие,1,0.0
казавшиеся,5,0.0
сталкивались,2,0.0
нагоняли,1,0.0
устоят,1,0.0
севастьяныч,1,0.0
сомнем,1,0.0
лихая,1,0.0
скомандовать,1,0.0
испытывавший,1,0.0
скачут,1,0.0
воротится,1,0.0
упустит,1,0.0
просилась,2,0.0
развернутого,1,0.0
аллюр,1,0.0
становившийся,1,0.0
скакавшим,1,0.0
поворачивать,1,0.0
приостанавливаться,1,0.0
раздавили,1,0.0
замешалась,1,0.0
налетел,1,0.0
перенесла,1,0.0
справясь,1,0.0
догонит,3,0.0
ударила,1,0.0
сбила,4,0.0
разрезал,2,0.0
толчка,5,0.0
сдержав,1,0.0
победил,7,0.0
зацепился,1,0.0
забрызганное,1,0.0
белокурое,1,0.0
дырочкой,4,0.0
подбородке,2,0.0
вражеское,1,0.0
комнатное,1,0.0
rends,2,0.0
выпутать,1,0.0
испуганных,4,0.0
подскочившие,1,0.0
выпростали,1,0.0
крупе,2,0.0
взлезал,1,0.0
гусаром,8,0.0
стреляя,2,0.0
сжимавшее,1,0.0
запутанное,1,0.0
взятием,1,0.0
нанес,1,0.0
возвращавшихся,1,0.0
представит,1,0.0
молодецком,1,0.0
георгиевский,5,0.0
остерману,1,0.0
начата,1,0.0
приказанья,2,0.0
самовольный,1,0.0
лестные,1,0.0
тошнило,1,0.0
осрамился,1,0.0
отвозимых,1,0.0
заводной,2,0.0
сдаюсь,1,0.0
задумчив,2,0.0
сосредоточен,1,0.0
подвиге,3,0.0
храбреца,1,0.0
геройством,2,0.0
смутило,1,0.0
островненского,1,0.0
храброго,1,0.0
перебралось,1,0.0
поселилось,1,0.0
серьезна,1,0.0
случившемся,1,0.0
худела,1,0.0
доктopà,1,0.0
консилиумами,1,0.0
латыни,1,0.0
прописывали,1,0.0
страдала,2,0.0
одержим,1,0.0
сложную,2,0.0
медицине,2,0.0
печени,1,0.0
нервов,1,0.0
записанную,2,0.0
состоящую,1,0.0
соединений,2,0.0
органов,1,0.0
докторам,2,0.0
колдуну,1,0.0
колдовать,1,0.0
получали,4,0.0
потратили,1,0.0
проглатывать,1,0.0
вред,2,0.0
малом,5,0.0
неизбежны,2,0.0
мнимые,4,0.0
излечители,1,0.0
ворожеи,3,0.0
гомеопаты,3,0.0
удовлетворяли,3,0.0
вечной,4,0.0
облегчение,2,0.0
ребенке,1,0.0
заметной,1,0.0
первобытной,1,0.0
потереть,1,0.0
ушибено,2,0.0
поцеловали,1,0.0
потерли,1,0.0
потрут,1,0.0
поцелуют,1,0.0
сильнейших,1,0.0
трет,1,0.0
шишку,1,0.0
утешают,1,0.0
терли,1,0.0
бобо,1,0.0
съездит,1,0.0
аптеку,1,0.0
гривен,1,0.0
порошков,2,0.0
пилюль,3,0.0
коробочке,1,0.0
порошки,2,0.0
больная,1,0.0
питья,2,0.0
тепленького,1,0.0
куриной,1,0.0
котлетки,1,0.0
предписанных,1,0.0
соблюдать,3,0.0
поправится,1,0.0
консилиумы,1,0.0
феллер,1,0.0
фриз,1,0.0
мудров,2,0.0
соблюдала,1,0.0
предписаний,1,0.0
выздоровеешь,1,0.0
слушаться,4,0.0
вò,1,0.0
пневмония,1,0.0
произношении,1,0.0
раздевалась,3,0.0
предписания,1,0.0
маловредные,1,0.0
пилюли,1,0.0
коробочки,1,0.0
вылечат,1,0.0
пожертвований,5,0.0
пренебрегая,2,0.0
предписанного,1,0.0
лечение,2,0.0
убитое,1,0.0
нравственная,5,0.0
всовывала,1,0.0
состояли,3,0.0
медицинской,1,0.0
душном,1,0.0
проглоченных,1,0.0
баночек,1,0.0
коробочек,1,0.0
охотница,1,0.0
вещиц,1,0.0
покрываться,1,0.0
слоем,2,0.0
прожитой,2,0.0
перестало,1,0.0
болью,3,0.0
становиться,5,0.0
оправляться,1,0.0
катанья,1,0.0
концертов,1,0.0
вспоминаний,2,0.0
невозвратном,1,0.0
задаром,1,0.0
погубила,3,0.0
кощунством,1,0.0
кокетстве,1,0.0
воздерживаться,2,0.0
страж,1,0.0
воспрещал,1,0.0
беззаботного,1,0.0
склада,2,0.0
болезненнее,1,0.0
осенние,1,0.0
проведенные,3,0.0
обманывало,1,0.0
открытости,1,0.0
отрадно,1,0.0
удалялась,1,0.0
приезжавших,2,0.0
навело,3,0.0
нечаянных,1,0.0
утешившие,1,0.0
говорятся,1,0.0
плачущего,1,0.0
признающей,1,0.0
петровского,1,0.0
поста,3,0.0
аграфена,4,0.0
соседка,2,0.0
поклониться,2,0.0
говеть,4,0.0
ухватилась,1,0.0
настояла,2,0.0
говели,1,0.0
отслушать,1,0.0
говела,2,0.0
вечерни,2,0.0
заутрени,2,0.0
усердие,2,0.0
безуспешного,1,0.0
медицинского,1,0.0
лекарств,1,0.0
поручила,1,0.0
беловой,7,0.0
спящею,1,0.0
проспать,1,0.0
умываясь,1,0.0
смирением,1,0.0
старенькую,1,0.0
мантилью,1,0.0
пустынные,1,0.0
прозрачно,2,0.0
утреннею,1,0.0
зарей,1,0.0
аграфены,1,0.0
приходе,2,0.0
набожной,1,0.0
строгой,2,0.0
иконою,1,0.0
вделанной,1,0.0
клироса,1,0.0
охватывало,3,0.0
горевшими,1,0.0
падавшим,1,0.0
личное,7,0.0
оттенками,1,0.0
сладостнее,1,0.0
управлял,8,0.0
кланялась,2,0.0
ужасаясь,2,0.0
помиловать,1,0.0
ранний,1,0.0
встречались,7,0.0
каменщики,1,0.0
дворники,1,0.0
выметавшие,1,0.0
улицу,18,0.0
росло,1,0.0
приобщиться,1,0.0
блаженного,4,0.0
воскресенья,3,0.0
кисейном,1,0.0
причастия,2,0.0
тяготящеюся,1,0.0
предстояла,1,0.0
прописал,1,0.0
аккуратнее,1,0.0
подхватывая,1,0.0
запоет,1,0.0
зарезвится,1,0.0
посвежела,1,0.0
поплевала,1,0.0
тревожные,4,0.0
воззвании,2,0.0
преувеличенные,1,0.0
смоленск,22,0.0
напечатан,1,0.0
домовую,1,0.0
июльский,1,0.0
церковью,4,0.0
жарком,1,0.0
криках,1,0.0
разносчиков,2,0.0
ярких,2,0.0
летних,1,0.0
запыленных,1,0.0
листьях,1,0.0
бульвара,1,0.0
развод,3,0.0
громе,1,0.0
блеске,3,0.0
жаркого,2,0.0
летнее,1,0.0
томление,1,0.0
довольство,3,0.0
чувствуется,5,0.0
московская,3,0.0
семей,3,0.0
разъезжающихся,1,0.0
ливрейного,3,0.0
раздвигавшего,2,0.0
похудела,3,0.0
упомянуты,1,0.0
лиловом,5,0.0
кружевами,1,0.0
стыднее,1,0.0
ошибалась,3,0.0
проходят,4,0.0
перекивнулась,1,0.0
стоявшими,1,0.0
осудила,1,0.0
способ,1,0.0
пространстве,9,0.0
судит,1,0.0
потеряна,1,0.0
благообразный,1,0.0
величаво,1,0.0
действует,7,0.0
молящихся,2,0.0
задернулась,1,0.0
завеса,2,0.0
таинственный,3,0.0
тихий,8,0.0
томительное,1,0.0
исправиться,2,0.0
амвон,1,0.0
стихаря,1,0.0
господу,1,0.0
помолимся,1,0.0
соединенные,1,0.0
свышнем,1,0.0
ангелов,1,0.0
бестелесных,1,0.0
молились,8,0.0
плавающих,1,0.0
путешествующих,1,0.0
ненавидящих,3,0.0
придумала,5,0.0
причисляла,1,0.0
кредиторов,1,0.0
врагах,1,0.0
сделавшего,1,0.0
ненавидящий,1,0.0
анатоле,1,0.0
царскую,1,0.0
синод,2,0.0
правительствующий,1,0.0
молится,1,0.0
ектенью,1,0.0
орарь,1,0.0
христу,2,0.0
предадим,2,0.0
предаю,1,0.0
умиленным,1,0.0
избавит,1,0.0
сожалений,1,0.0
укоров,1,0.0
умиленное,2,0.0
дьячек,1,0.0
вынес,1,0.0
скамеечку,1,0.0
читались,2,0.0
коленопреклонные,1,0.0
троицын,1,0.0
царскими,1,0.0
дверьми,1,0.0
лиловой,2,0.0
скуфье,1,0.0
оправил,3,0.0
полученная,1,0.0
синода,2,0.0
вражеского,1,0.0
ясным,2,0.0
ненапыщенным,1,0.0
читают,3,0.0
славянские,1,0.0
чтецы,1,0.0
призри,1,0.0
милостях,1,0.0
щедротах,1,0.0
смиренныя,1,0.0
человеколюбно,1,0.0
услыши,2,0.0
пощади,1,0.0
се,6,0.0
смущаяй,1,0.0
хотяй,1,0.0
положити,1,0.0
вселенную,1,0.0
пусту,2,0.0
восста,1,0.0
ны,2,0.0
беззаконнии,1,0.0
собрашася,1,0.0
еже,2,0.0
погубити,1,0.0
достояние,2,0.0
разорити,1,0.0
иерусалим,2,0.0
возлюбленную,1,0.0
осквернити,1,0.0
храмы,1,0.0
раскопати,1,0.0
алтари,1,0.0
поругатися,1,0.0
святыне,2,0.0
доколе,3,0.0
грешницы,1,0.0
восхвалятся,1,0.0
употребити,2,0.0
имать,4,0.0
законопреступный,1,0.0
владыко,1,0.0
благочестивейшего,1,0.0
самодержавнейшего,1,0.0
помяни,2,0.0
кротость,2,0.0
воздаждь,1,0.0
хранит,1,0.0
возлюбленный,1,0.0
израиль,1,0.0
начинания,2,0.0
утверди,2,0.0
всемогущею,1,0.0
десницею,1,0.0
подаждь,1,0.0
яко,7,0.0
моисею,1,0.0
амалика,2,0.0
гедеону,1,0.0
мадиама,2,0.0
давиду,1,0.0
голиафа,2,0.0
сохрани,2,0.0
лук,1,0.0
медян,1,0.0
мышцам,1,0.0
ополчившихся,1,0.0
препояши,1,0.0
брань,1,0.0
приими,1,0.0
щит,1,0.0
восстани,1,0.0
постыдятся,1,0.0
посрамятся,2,0.0
мыслящии,1,0.0
лицем,2,0.0
прах,4,0.0
оскорбляяй,1,0.0
погоняяй,1,0.0
приидет,1,0.0
